load_number,from_stop,to_stop,from_address,to_address
134764,DEPOT,1,"HORSLEY PARK, NSW 2175","51 PENDERGAST AVENUE, MINTO, NSW 2566"
134764,1,2,"51 PENDERGAST AVENUE, MINTO, NSW 2566","12 Meeson St, CLAYMORE, NSW 2559"
134766,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 913 (12) SOLSTICE STREET, BOX HILL, NSW 2765"
134766,1,2,"LOT 913 (12) SOLSTICE STREET, BOX HILL, NSW 2765","LOT CT 11 (16) VAISHNO CLOSE, KELLYVILLE, NSW 2155"
134767,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 1196 (79) ARMOURY ROAD, JORDAN SPRINGS, NSW 2747"
134767,1,2,"LOT 1196 (79) ARMOURY ROAD, JORDAN SPRINGS, NSW 2747","LOT 2103 (6) GLIDER AVENUE, GABLES, NSW 2765"
134767,2,3,"LOT 2103 (6) GLIDER AVENUE, GABLES, NSW 2765","LOT 2104 (4) GLIDER AVENUE, GABLES, NSW 2765"
134768,DEPOT,1,"HORSLEY PARK, NSW 2175","7-9 BRIGHTON RD, PEAKHURST, NSW 2210"
134768,1,2,"7-9 BRIGHTON RD, PEAKHURST, NSW 2210","21 JELLICOE STREET, HURSTVILLE, NSW 2220"
134773,DEPOT,1,"HORSLEY PARK, NSW 2175","6 DANIEL STREET, GREYSTANES, NSW 2145"
134773,1,2,"6 DANIEL STREET, GREYSTANES, NSW 2145","6 DANIEL STREET, GREYSTANES, NSW 2145"
134773,2,3,"6 DANIEL STREET, GREYSTANES, NSW 2145","1 MOUNTVIEW AVENUE, CHESTER HILL, NSW 2162"
134773,3,4,"1 MOUNTVIEW AVENUE, CHESTER HILL, NSW 2162","1 MOUNTVIEW AVENUE, CHESTER HILL, NSW 2162"
134774,DEPOT,1,"HORSLEY PARK, NSW 2175","16 TERRY ROAD, EASTWOOD, NSW 2122"
134774,1,2,"16 TERRY ROAD, EASTWOOD, NSW 2122","4 WIRRILDA WAY, FORESTVILLE, NSW 2087"
134774,2,3,"4 WIRRILDA WAY, FORESTVILLE, NSW 2087","4 WIRRILDA WAY, FORESTVILLE, NSW 2087"
134780,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 333 (22) SOUTHCOTT AVENUE, OAKVILLE, NSW 2765"
134780,1,2,"LOT 333 (22) SOUTHCOTT AVENUE, OAKVILLE, NSW 2765","39 HONOUR AVENUE, LAWSON, NSW 2783"
134784,DEPOT,1,"HORSLEY PARK, NSW 2175","21 LONG STREET, STRATHFIELD, NSW 2135"
134784,1,2,"21 LONG STREET, STRATHFIELD, NSW 2135","48 CHAMPION ROAD, TENNYSON POINT, NSW 2111"
134789,DEPOT,1,"HORSLEY PARK, NSW 2175","7-17 THE RIVER ROAD, REVESBY, NSW 2212"
134789,1,2,"7-17 THE RIVER ROAD, REVESBY, NSW 2212","67 MOORE STREET, HURSTVILLE, NSW 2220"
134789,2,3,"67 MOORE STREET, HURSTVILLE, NSW 2220","67 MOORE STREET, HURSTVILLE, NSW 2220"
134790,DEPOT,1,"HORSLEY PARK, NSW 2175","EVANS ROAD TELOPEA, TELOPEA, NSW 2117"
134790,1,2,"EVANS ROAD TELOPEA, TELOPEA, NSW 2117","54 BENNETS ROAD EAST, DUNDAS, NSW 2115"
134790,2,3,"54 BENNETS ROAD EAST, DUNDAS, NSW 2115","2-4 LAKESIDE CRESCENT, NORTH MANLY, NSW 2100"
134791,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 2449 OCTAGONAL DRIVE, MENANGLE PARK, NSW 2563"
134791,1,2,"LOT 2449 OCTAGONAL DRIVE, MENANGLE PARK, NSW 2563","LOT 2449 OCTAGONAL DRIVE, MENANGLE PARK, NSW 2563"
134791,2,3,"LOT 2449 OCTAGONAL DRIVE, MENANGLE PARK, NSW 2563","33 HARVEST STREET, WILTON, NSW 2571"
134793,DEPOT,1,"HORSLEY PARK, NSW 2175","7 ARCHIBALD STREET, PADSTOW, NSW 2211"
134793,1,2,"7 ARCHIBALD STREET, PADSTOW, NSW 2211","1297 PRINCESS HIGHWAY, HEATHCOTE, NSW 2233"
134794,DEPOT,1,"HORSLEY PARK, NSW 2175","53 Venda St, AUSTRAL, NSW 2179"
134794,1,2,"53 Venda St, AUSTRAL, NSW 2179","LOT 15 (6B) YITPI ST, AUSTRAL, NSW 2179"
134797,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 4007 CAMPBELLTOWN ROAD, EDMONDSON PARK, NSW 2174"
134797,1,2,"LOT 4007 CAMPBELLTOWN ROAD, EDMONDSON PARK, NSW 2174","LOT 4007 CAMPBELLTOWN ROAD, EDMONDSON PARK, NSW 2174"
134799,DEPOT,1,"HORSLEY PARK, NSW 2175","16 CLAYDON ROAD, INGLEBURN, NSW 2565"
134799,1,2,"16 CLAYDON ROAD, INGLEBURN, NSW 2565","LOT 92 (43) MARION STREET, THIRLMERE, NSW 2572"
134800,DEPOT,1,"HORSLEY PARK, NSW 2175","39-45 STAFF STREET, WOLLONGONG, NSW 2500"
134800,1,2,"39-45 STAFF STREET, WOLLONGONG, NSW 2500","LOT108 SHEAFES ROAD, KEMBLA GRANGE, NSW 2526"
134801,DEPOT,1,"HORSLEY PARK, NSW 2175","76 BEN BOYD ROAD, NEUTRAL BAY, NSW 2089"
134801,1,2,"76 BEN BOYD ROAD, NEUTRAL BAY, NSW 2089","Avon Rd, PYMBLE, NSW 2073"
134802,DEPOT,1,"HORSLEY PARK, NSW 2175","PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196"
134802,1,2,"PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196","51 LILY STREET, HURSTVILLE, NSW 2220"
134802,2,3,"51 LILY STREET, HURSTVILLE, NSW 2220","18A DODSON AVENUE, CRONULLA, NSW 2230"
134805,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 13 (16) URSA STREET, BOX HILL, NSW 2765"
134805,1,2,"LOT 13 (16) URSA STREET, BOX HILL, NSW 2765","LOT 13 (16) URSA STREET, BOX HILL, NSW 2765"
134806,DEPOT,1,"HORSLEY PARK, NSW 2175","125 Wonga Rd, LURNEA, NSW 2170"
134806,1,2,"125 Wonga Rd, LURNEA, NSW 2170","258 EPSOM ROAD, CHIPPING NORTON, NSW 2170"
134808,DEPOT,1,"HORSLEY PARK, NSW 2175","20 Boxthorn Ave, LEPPINGTON, NSW 2179"
134808,1,2,"20 Boxthorn Ave, LEPPINGTON, NSW 2179","3 DOLABELLA WAY, GREGORY HILLS, NSW 2557"
134823,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 17 (25) SUNSET BOULEVARD, SOLDIERS POINT, NSW 2317"
134823,1,2,"LOT 17 (25) SUNSET BOULEVARD, SOLDIERS POINT, NSW 2317","51a SQUIRES STREET, FINGAL BAY, NSW 2315"
134825,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 1 (42) SEBONACK ST, HEDDON GRETA, NSW 2321"
134825,1,2,"LOT 1 (42) SEBONACK ST, HEDDON GRETA, NSW 2321","LOT 176 #22 ASSAY STREET, GILLIESTON HEIGHTS, NSW 2321"
134827,DEPOT,1,"HORSLEY PARK, NSW 2175","66 YAMBO STREET, MORISSET, NSW 2264"
134827,1,2,"66 YAMBO STREET, MORISSET, NSW 2264","LOT 82 #28 COCKATIEL STREET, TORONTO, NSW 2283"
134835,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 32A (167) INGLEBURN ROAD, LEPPINGTON, NSW 2179"
134835,1,2,"LOT 32A (167) INGLEBURN ROAD, LEPPINGTON, NSW 2179","41 GREENDALE ROAD, BRINGELLY, NSW 2556"
134844,DEPOT,1,"HORSLEY PARK, NSW 2175","PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196"
134844,1,2,"PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196","20 TREVILYAN AVENUE, ROSEBERY, NSW 2018"
134847,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 134 (9) KEATS ST, CARLINGFORD, NSW 2118"
134847,1,2,"LOT 134 (9) KEATS ST, CARLINGFORD, NSW 2118","41A FARNELL STREET, HUNTERS HILL, NSW 2110"
134852,DEPOT,1,"HORSLEY PARK, NSW 2175","98 Silver St, ST PETERS, NSW 2044"
134852,1,2,"98 Silver St, ST PETERS, NSW 2044","98 Silver St, ST PETERS, NSW 2044"
134855,DEPOT,1,"HORSLEY PARK, NSW 2175","PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196"
134855,1,2,"PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196","7 OLEANDER COURT, PEAKHURST, NSW 2210"
134855,2,3,"7 OLEANDER COURT, PEAKHURST, NSW 2210","7-9 BRIGHTON RD, PEAKHURST, NSW 2210"
134856,DEPOT,1,"HORSLEY PARK, NSW 2175","423 TENTH AVENUE, AUSTRAL, NSW 2179"
134856,1,2,"423 TENTH AVENUE, AUSTRAL, NSW 2179","LOT 2207 (5) MOUNT PLEASANT DR, MENANGLE PARK, NSW 2563"
134862,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 32 (57) SUGAR CANE STREET, LEPPINGTON, NSW 2179"
134862,1,2,"LOT 32 (57) SUGAR CANE STREET, LEPPINGTON, NSW 2179","38 Hughes Ave, HARRINGTON PARK, NSW 2567"
134870,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 3  #69B ANDERSON AVENUE, MOUNT PRITCHARD, NSW 2170"
134870,1,2,"LOT 3  #69B ANDERSON AVENUE, MOUNT PRITCHARD, NSW 2170","58 STONE STREET, EARLWOOD, NSW 2206"
134870,2,3,"58 STONE STREET, EARLWOOD, NSW 2206","50 YOUNG AVENUE, SYLVANIA, NSW 2224"
134871,DEPOT,1,"HORSLEY PARK, NSW 2175","85 KIRBY ST, RYDALMERE, NSW 2116"
134871,1,2,"85 KIRBY ST, RYDALMERE, NSW 2116","37 MILEHAM AVENUE, CASTLE HILL, NSW 2154"
134876,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT CT13 (12) GALILEO ST, BOX HILL, NSW 2765"
134876,1,2,"LOT CT13 (12) GALILEO ST, BOX HILL, NSW 2765","LOT CT13 (12) GALILEO STREET, BOX HILL, NSW 2765"
134883,DEPOT,1,"HORSLEY PARK, NSW 2175","16-18 WILLIAM ST, LEICHHARDT, NSW 2040"
134883,1,2,"16-18 WILLIAM ST, LEICHHARDT, NSW 2040","16-18 WILLIAM ST, LEICHHARDT, NSW 2040"
134892,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 134 (9) KEATS ST, CARLINGFORD, NSW 2118"
134892,1,2,"LOT 134 (9) KEATS ST, CARLINGFORD, NSW 2118","Avon Rd, PYMBLE, NSW 2073"
134894,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT166 (103) HIRSCH STREET, LEPPINGTON, NSW 2179"
134894,1,2,"LOT166 (103) HIRSCH STREET, LEPPINGTON, NSW 2179","LOT 167 (101) HIRSCH STREET, LEPPINGTON, NSW 2179"
134894,2,3,"LOT 167 (101) HIRSCH STREET, LEPPINGTON, NSW 2179","LOT 168 (99) HIRSCH STREET, DENHAM COURT, NSW 2179"
134894,3,4,"LOT 168 (99) HIRSCH STREET, DENHAM COURT, NSW 2179","LOT 5017 (54) MOLNAR CIRCUIT, ORAN PARK, NSW 2570"
134894,4,5,"LOT 5017 (54) MOLNAR CIRCUIT, ORAN PARK, NSW 2570","L3601 (4) CRISP STREET, MENANGLE PARK, NSW 2563"
134895,DEPOT,1,"HORSLEY PARK, NSW 2175","59 BARLOW BOULEVARD, GABLES, NSW 2765"
134895,1,2,"59 BARLOW BOULEVARD, GABLES, NSW 2765","LOT 1108 (87) STORYTELLER PWY, GABLES, NSW 2765"
134903,DEPOT,1,"HORSLEY PARK, NSW 2175","15 WEWAK PLACE, BOSSLEY PARK, NSW 2176"
134903,1,2,"15 WEWAK PLACE, BOSSLEY PARK, NSW 2176","9 HIGGINS STREET, CONDELL PARK, NSW 2200"
134905,DEPOT,1,"HORSLEY PARK, NSW 2175","ILLAWARRA STOCK TRANSFER ONLY, ALBION PARK RAIL, NSW 2527"
134905,1,2,"ILLAWARRA STOCK TRANSFER ONLY, ALBION PARK RAIL, NSW 2527","LOT 6072 (19) GROOM STREET, CALDERWOOD, NSW 2527"
134908,DEPOT,1,"HORSLEY PARK, NSW 2175","56 DUNCANSBY CRESENT, ST ANDREWS, NSW 2566"
134908,1,2,"56 DUNCANSBY CRESENT, ST ANDREWS, NSW 2566","39 Banfield Dr, ORAN PARK, NSW 2570"
134910,DEPOT,1,"HORSLEY PARK, NSW 2175","6 ANZAC AVENUE, DENISTONE, NSW 2114"
134910,1,2,"6 ANZAC AVENUE, DENISTONE, NSW 2114","7 MAPLES AVENUE, KILLARA, NSW 2071"
134912,DEPOT,1,"HORSLEY PARK, NSW 2175","283 CONCORDE ROAD, CONCORD WEST, NSW 2138"
134912,1,2,"283 CONCORDE ROAD, CONCORD WEST, NSW 2138","2 Hythe St, DRUMMOYNE, NSW 2047"
134914,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 137  #53 PERSOONIA BOULEVA, NORTH ROTHBURY, NSW 2335"
134914,1,2,"LOT 137  #53 PERSOONIA BOULEVA, NORTH ROTHBURY, NSW 2335","LOT 439 # 25 MORNINGSTAR CRESC, NORTH ROTHBURY, NSW 2335"
134915,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 439 # 25 MORNINGSTAR CRESC, NORTH ROTHBURY, NSW 2335"
134915,1,2,"LOT 439 # 25 MORNINGSTAR CRESC, NORTH ROTHBURY, NSW 2335","LOT 439 # 25 MORNINGSTAR CRESC, NORTH ROTHBURY, NSW 2335"
134916,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 415 #64 LILAC AVE, LOCHINVAR, NSW 2321"
134916,1,2,"LOT 415 #64 LILAC AVE, LOCHINVAR, NSW 2321","LOT 920 #26 FARMSTEAD STREET, LOCHINVAR, NSW 2321"
134916,2,3,"LOT 920 #26 FARMSTEAD STREET, LOCHINVAR, NSW 2321","LOT 920 #26 FARMSTEAD STREET, LOCHINVAR, NSW 2321"
134918,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 38 #36 WATERSLEIGH AVE, MALLABULA, NSW 2319"
134918,1,2,"LOT 38 #36 WATERSLEIGH AVE, MALLABULA, NSW 2319","LOT 38 #36 WATERSLEIGH AVE, MALLABULA, NSW 2319"
134921,DEPOT,1,"HORSLEY PARK, NSW 2175","49 Cessna Ave, COORANBONG, NSW 2265"
134921,1,2,"49 Cessna Ave, COORANBONG, NSW 2265","LOT 125 #21 CRAFTSMAN ROAD, NORTH ROTHBURY, NSW 2335"
134922,DEPOT,1,"HORSLEY PARK, NSW 2175","5 BIRRABA AVE, BERESFIELD, NSW 2322"
134922,1,2,"5 BIRRABA AVE, BERESFIELD, NSW 2322","LOT 88  #5 LONGWORTH AVENUE, NEW LAMBTON, NSW 2305"
134930,DEPOT,1,"HORSLEY PARK, NSW 2175","PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196"
134930,1,2,"PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196","51 HODGE STREET, HURSTVILLE, NSW 2220"
134933,DEPOT,1,"HORSLEY PARK, NSW 2175","1 MOUNTVIEW AVENUE, CHESTER HILL, NSW 2162"
134933,1,2,"1 MOUNTVIEW AVENUE, CHESTER HILL, NSW 2162","PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196"
134952,DEPOT,1,"HORSLEY PARK, NSW 2175","69 SIR JOSEPH BANKS DRIVE, KURNELL, NSW 2231"
134952,1,2,"69 SIR JOSEPH BANKS DRIVE, KURNELL, NSW 2231","LOT 1 (30 - 168) SIR JOSEPH BA, KURNELL, NSW 2231"
134994,DEPOT,1,"HORSLEY PARK, NSW 2175","58 CAHORS ROAD, PADSTOW, NSW 2211"
134994,1,2,"58 CAHORS ROAD, PADSTOW, NSW 2211","22 Heath Rd, BLAKEHURST, NSW 2221"
